age,education_num,hours_per_week,log_capital_gain,marital_status_Married,marital_status_Other,relationship_Family,relationship_Other
55.0,1.0,37.0,11.51,0.0,1.0,0.0,1.0
24.0,2.0,40.0,0.0,1.0,0.0,1.0,0.0
38.0,2.0,40.0,0.0,1.0,0.0,1.0,0.0
48.0,5.0,44.0,0.0,0.0,1.0,0.0,1.0
35.0,6.0,35.0,0.0,1.0,0.0,1.0,0.0
35.0,3.0,55.0,7.95,1.0,0.0,1.0,0.0
61.0,8.0,57.0,10.0,1.0,0.0,1.0,0.0
38.0,2.0,41.0,0.0,1.0,0.0,1.0,0.0
75.0,9.0,40.0,0.0,0.0,1.0,0.0,1.0
34.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0
40.0,5.0,40.0,0.0,0.0,1.0,0.0,1.0
35.0,5.0,40.0,0.0,1.0,0.0,1.0,0.0
57.0,6.0,56.0,9.0,1.0,0.0,1.0,0.0
23.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0
42.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0
49.0,6.0,39.0,0.0,0.0,1.0,0.0,1.0
52.0,6.0,40.0,0.0,1.0,0.0,1.0,0.0
37.0,9.0,45.0,9.55,0.0,1.0,0.0,1.0
61.0,1.0,30.0,0.0,1.0,0.0,1.0,0.0
50.0,6.0,50.0,8.95,1.0,0.0,1.0,0.0
41.0,6.0,60.0,0.0,1.0,0.0,1.0,0.0
70.0,2.0,32.0,0.0,0.0,1.0,0.0,1.0
46.0,4.0,40.0,0.0,1.0,0.0,1.0,0.0
34.0,6.0,36.0,9.62,1.0,0.0,1.0,0.0
46.0,3.0,40.0,0.0,0.0,1.0,0.0,1.0
47.0,2.0,46.0,0.0,1.0,0.0,1.0,0.0
65.0,2.0,41.0,0.0,1.0,0.0,1.0,0.0
56.0,2.0,43.0,0.0,1.0,0.0,1.0,0.0
48.0,6.0,45.0,0.0,1.0,0.0,1.0,0.0
26.0,6.0,48.0,0.0,0.0,1.0,0.0,1.0
35.0,7.0,40.0,0.0,0.0,1.0,0.0,1.0
51.0,1.0,99.0,0.0,1.0,0.0,1.0,0.0
27.0,6.0,40.0,0.0,1.0,0.0,1.0,0.0
24.0,6.0,40.0,0.0,0.0,1.0,0.0,1.0
45.0,6.0,40.0,0.0,1.0,0.0,1.0,0.0
34.0,6.0,42.0,0.0,1.0,0.0,1.0,0.0
22.0,1.0,35.0,0.0,1.0,0.0,1.0,0.0
53.0,3.0,30.0,0.0,1.0,0.0,1.0,0.0
32.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0
34.0,6.0,40.0,8.95,1.0,0.0,1.0,0.0
35.0,2.0,30.0,0.0,0.0,1.0,0.0,1.0
20.0,3.0,32.0,0.0,0.0,1.0,0.0,1.0
48.0,7.0,57.0,0.0,0.0,1.0,0.0,1.0
40.0,1.0,50.0,0.0,0.0,1.0,0.0,1.0
52.0,6.0,51.0,0.0,1.0,0.0,1.0,0.0
24.0,5.0,40.0,0.0,1.0,0.0,1.0,0.0
27.0,5.0,60.0,0.0,0.0,1.0,0.0,1.0
55.0,9.0,60.0,0.0,0.0,1.0,0.0,1.0
51.0,4.0,40.0,8.52,1.0,0.0,1.0,0.0
52.0,2.0,40.0,0.0,1.0,0.0,1.0,0.0
63.0,1.0,40.0,0.0,0.0,1.0,0.0,1.0
35.0,2.0,55.0,0.0,1.0,0.0,1.0,0.0
64.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0
31.0,2.0,54.0,0.0,1.0,0.0,1.0,0.0
32.0,6.0,40.0,0.0,1.0,0.0,1.0,0.0
43.0,3.0,54.0,0.0,1.0,0.0,1.0,0.0
37.0,6.0,40.0,0.0,1.0,0.0,1.0,0.0
24.0,3.0,40.0,0.0,0.0,1.0,0.0,1.0
36.0,2.0,44.0,0.0,1.0,0.0,1.0,0.0
32.0,2.0,40.0,0.0,1.0,0.0,1.0,0.0
60.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0
45.0,6.0,50.0,0.0,1.0,0.0,1.0,0.0
38.0,5.0,48.0,0.0,1.0,0.0,1.0,0.0
26.0,2.0,52.0,0.0,0.0,1.0,0.0,1.0
49.0,2.0,42.0,0.0,1.0,0.0,1.0,0.0
30.0,6.0,45.0,9.55,0.0,1.0,0.0,1.0
27.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0
44.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0
