age,education_num,hours_per_week,log_capital_gain,marital_status_Married,marital_status_Other,relationship_Family,relationship_Other
43,6,40,0.0,0,1,0,1
50,2,40,0.0,0,1,0,1
66,1,40,0.0,0,1,0,1
25,2,25,0.0,0,1,0,1
58,2,40,0.0,1,0,1,0
45,7,50,0.0,1,0,1,0
43,6,42,0.0,0,1,0,1
29,9,50,0.0,1,0,1,0
29,1,25,0.0,0,1,0,1
55,1,40,0.0,1,0,1,0
53,2,40,11.51,1,0,1,0
33,2,45,0.0,1,0,1,0
25,1,40,0.0,0,1,0,1
25,3,25,0.0,0,1,0,1
51,3,35,0.0,1,0,1,0
38,3,55,0.0,0,1,0,1
21,1,40,0.0,0,1,0,1
62,4,40,0.0,0,1,0,1
52,1,40,0.0,0,1,0,1
29,2,40,0.0,0,1,0,1
22,5,45,0.0,0,1,0,1
26,2,40,0.0,0,1,0,1
40,1,8,0.0,0,1,0,1
34,6,30,0.0,1,0,1,0
24,6,40,0.0,0,1,0,1
46,8,60,11.51,1,0,1,0
39,6,40,0.0,1,0,1,0
46,3,35,0.0,0,1,0,1
17,1,20,0.0,0,1,0,1
41,4,60,8.9,1,0,1,0
30,8,55,0.0,0,1,0,1
29,3,45,0.0,0,1,0,1
60,2,42,0.0,1,0,1,0
34,1,36,0.0,0,1,0,1
47,2,40,0.0,1,0,1,0
39,2,42,0.0,1,0,1,0
51,2,40,0.0,1,0,1,0
28,5,60,0.0,1,0,1,0
45,3,50,0.0,0,1,0,1
18,1,20,0.0,0,1,0,1
59,8,25,0.0,1,0,1,0
37,3,27,0.0,0,1,0,1
30,2,50,0.0,1,0,1,0
20,3,25,0.0,0,1,0,1
45,2,40,0.0,0,1,0,1
44,4,25,6.39,0,1,0,1
36,1,50,0.0,1,0,1,0
26,4,65,0.0,0,1,0,1
47,3,40,8.9,1,0,1,0
63,1,40,0.0,0,1,0,1
28,2,40,0.0,1,0,1,0
30,3,40,0.0,0,1,0,1
59,2,40,0.0,1,0,1,0
30,6,40,0.0,1,0,1,0
52,3,37,0.0,0,1,0,1
25,2,40,0.0,0,1,0,1
27,2,40,0.0,1,0,1,0
54,7,40,0.0,0,1,0,1
34,3,50,0.0,0,1,0,1
26,3,40,0.0,0,1,0,1
39,1,35,0.0,0,1,0,1
23,5,30,0.0,0,1,0,1
47,7,41,0.0,1,0,1,0
53,2,40,0.0,1,0,1,0
59,2,20,0.0,1,0,1,0
48,7,40,0.0,1,0,1,0
29,5,45,8.95,1,0,1,0
27,5,40,0.0,0,1,0,1
65,7,99,0.0,0,1,0,1
20,3,40,0.0,0,1,0,1
52,3,40,0.0,1,0,1,0
35,2,40,0.0,0,1,0,1
50,2,30,0.0,1,0,1,0
19,2,20,0.0,0,1,0,1
39,2,40,0.0,1,0,1,0
22,3,25,0.0,0,1,0,1
33,2,40,0.0,0,1,0,1
50,7,50,0.0,1,0,1,0
21,2,1,0.0,0,1,0,1
20,2,40,0.0,0,1,0,1
56,2,35,0.0,1,0,1,0
28,5,45,0.0,1,0,1,0
21,3,40,0.0,0,1,0,1
32,1,40,0.0,0,1,0,1
22,5,16,0.0,0,1,0,1
45,8,40,8.95,1,0,1,0
36,9,45,0.0,0,1,0,1
46,3,50,0.0,1,0,1,0
40,4,40,0.0,1,0,1,0
30,6,20,0.0,1,0,1,0
43,6,40,0.0,0,1,0,1
37,9,99,0.0,1,0,1,0
59,6,50,9.62,1,0,1,0
36,3,40,0.0,0,1,0,1
29,4,40,0.0,1,0,1,0
37,3,40,0.0,1,0,1,0
36,6,55,0.0,1,0,1,0
35,2,40,0.0,1,0,1,0
65,1,20,0.0,1,0,1,0
49,2,40,0.0,0,1,0,1
26,8,60,11.51,1,0,1,0
33,3,50,0.0,1,0,1,0
52,2,50,0.0,0,1,0,1
73,1,40,0.0,1,0,1,0
32,6,60,0.0,1,0,1,0
60,3,44,0.0,0,1,0,1
35,2,40,0.0,1,0,1,0
36,3,42,0.0,1,0,1,0
40,2,40,0.0,0,1,0,1
30,2,60,0.0,1,0,1,0
35,2,40,0.0,0,1,0,1
24,3,72,0.0,1,0,1,0
24,2,40,0.0,0,1,0,1
40,3,38,0.0,0,1,0,1
24,6,50,0.0,0,1,0,1
45,6,40,0.0,1,0,1,0
40,3,40,8.9,1,0,1,0
61,3,50,0.0,1,0,1,0
22,3,20,0.0,0,1,0,1
70,2,30,0.0,1,0,1,0
54,2,45,0.0,0,1,0,1
39,5,55,9.62,1,0,1,0
40,2,50,0.0,0,1,0,1
21,3,12,0.0,0,1,0,1
46,2,35,0.0,1,0,1,0
23,3,25,0.0,0,1,0,1
52,3,40,0.0,0,1,0,1
36,2,40,0.0,1,0,1,0
24,6,55,0.0,0,1,0,1
28,6,50,0.0,0,1,0,1
55,2,45,0.0,1,0,1,0
51,2,40,0.0,0,1,0,1
28,6,45,0.0,1,0,1,0
34,5,40,0.0,1,0,1,0
25,2,40,0.0,1,0,1,0
27,2,38,0.0,0,1,0,1
35,3,70,8.52,1,0,1,0
23,2,30,0.0,1,0,1,0
30,6,40,0.0,0,1,0,1
51,3,50,0.0,1,0,1,0
26,6,40,0.0,0,1,0,1
18,2,25,0.0,0,1,0,1
37,6,40,8.9,1,0,1,0
49,6,50,0.0,1,0,1,0
46,3,40,0.0,1,0,1,0
72,1,35,0.0,0,1,0,1
31,7,46,0.0,0,1,0,1
60,3,40,8.9,1,0,1,0
42,2,65,0.0,0,1,0,1
44,1,35,0.0,0,1,0,1
17,1,30,0.0,0,1,0,1
24,6,40,0.0,0,1,0,1
24,3,40,0.0,0,1,0,1
34,3,40,0.0,1,0,1,0
56,1,40,0.0,0,1,0,1
19,2,50,0.0,0,1,0,1
54,2,37,0.0,0,1,0,1
62,7,50,0.0,1,0,1,0
45,2,50,0.0,1,0,1,0
39,3,40,0.0,1,0,1,0
43,3,40,0.0,1,0,1,0
20,3,50,0.0,0,1,0,1
44,9,40,9.62,1,0,1,0
33,1,42,0.0,0,1,0,1
23,3,20,0.0,0,1,0,1
46,9,60,0.0,1,0,1,0
33,2,40,0.0,1,0,1,0
25,2,40,0.0,0,1,0,1
59,3,40,0.0,0,1,0,1
65,3,40,0.0,0,1,0,1
41,2,40,0.0,1,0,1,0
33,7,32,0.0,0,1,0,1
20,3,35,0.0,0,1,0,1
19,2,14,0.0,0,1,0,1
42,2,40,0.0,1,0,1,0
47,2,40,0.0,1,0,1,0
19,3,35,0.0,0,1,0,1
45,8,30,0.0,0,1,0,1
42,2,48,0.0,1,0,1,0
21,3,40,0.0,0,1,0,1
17,1,45,0.0,0,1,0,1
45,6,40,0.0,1,0,1,0
61,1,40,0.0,1,0,1,0
48,3,38,0.0,0,1,0,1
38,6,50,8.9,1,0,1,0
84,1,15,0.0,0,1,0,1
49,3,50,9.62,1,0,1,0
24,3,40,0.0,0,1,0,1
23,6,40,0.0,0,1,0,1
24,6,30,8.52,1,0,1,0
36,3,50,0.0,1,0,1,0
69,2,12,9.15,1,0,1,0
61,2,40,0.0,0,1,0,1
47,2,40,0.0,1,0,1,0
27,2,40,0.0,0,1,0,1
19,3,40,0.0,0,1,0,1
36,2,40,0.0,1,0,1,0
21,5,5,0.0,0,1,0,1
46,6,50,0.0,0,1,0,1
23,3,35,0.0,0,1,0,1
22,2,40,0.0,0,1,0,1
23,6,24,0.0,0,1,0,1
39,6,40,0.0,1,0,1,0
32,2,90,0.0,1,0,1,0
33,6,50,8.95,1,0,1,0
52,2,50,0.0,0,1,0,1
21,1,20,0.0,0,1,0,1
41,2,40,0.0,0,1,0,1
34,2,40,0.0,1,0,1,0
21,5,55,0.0,0,1,0,1
47,6,40,0.0,0,1,0,1
47,3,40,0.0,0,1,0,1
42,1,45,0.0,1,0,1,0
25,6,20,0.0,0,1,0,1
43,3,40,0.0,1,0,1,0
40,7,40,0.0,1,0,1,0
43,3,44,0.0,1,0,1,0
65,2,40,0.0,0,1,0,1
23,3,40,0.0,0,1,0,1
26,4,80,0.0,1,0,1,0
49,6,40,0.0,1,0,1,0
