age,education_num,log_capital_gain,relationship_Family
43,6,0.0,0
50,2,0.0,0
66,1,0.0,0
25,2,0.0,0
58,2,0.0,1
45,7,0.0,1
43,6,0.0,0
29,9,0.0,1
29,1,0.0,0
55,1,0.0,1
53,2,11.51,1
33,2,0.0,1
25,1,0.0,0
25,3,0.0,0
51,3,0.0,1
38,3,0.0,0
21,1,0.0,0
62,4,0.0,0
52,1,0.0,0
29,2,0.0,0
22,5,0.0,0
26,2,0.0,0
40,1,0.0,0
34,6,0.0,1
24,6,0.0,0
46,8,11.51,1
39,6,0.0,1
46,3,0.0,0
17,1,0.0,0
41,4,8.9,1
30,8,0.0,0
29,3,0.0,0
60,2,0.0,1
34,1,0.0,0
47,2,0.0,1
39,2,0.0,1
51,2,0.0,1
28,5,0.0,1
45,3,0.0,0
18,1,0.0,0
59,8,0.0,1
37,3,0.0,0
30,2,0.0,1
20,3,0.0,0
45,2,0.0,0
44,4,6.39,0
36,1,0.0,1
26,4,0.0,0
47,3,8.9,1
63,1,0.0,0
28,2,0.0,1
30,3,0.0,0
59,2,0.0,1
30,6,0.0,1
52,3,0.0,0
25,2,0.0,0
27,2,0.0,1
54,7,0.0,0
34,3,0.0,0
26,3,0.0,0
39,1,0.0,0
23,5,0.0,0
47,7,0.0,1
53,2,0.0,1
59,2,0.0,1
48,7,0.0,1
29,5,8.95,1
27,5,0.0,0
65,7,0.0,0
20,3,0.0,0
52,3,0.0,1
35,2,0.0,0
50,2,0.0,1
19,2,0.0,0
39,2,0.0,1
22,3,0.0,0
33,2,0.0,0
50,7,0.0,1
21,2,0.0,0
20,2,0.0,0
56,2,0.0,1
28,5,0.0,1
21,3,0.0,0
32,1,0.0,0
22,5,0.0,0
45,8,8.95,1
36,9,0.0,0
46,3,0.0,1
40,4,0.0,1
30,6,0.0,1
43,6,0.0,0
37,9,0.0,1
59,6,9.62,1
36,3,0.0,0
29,4,0.0,1
37,3,0.0,1
36,6,0.0,1
35,2,0.0,1
65,1,0.0,1
49,2,0.0,0
26,8,11.51,1
33,3,0.0,1
52,2,0.0,0
73,1,0.0,1
32,6,0.0,1
60,3,0.0,0
35,2,0.0,1
36,3,0.0,1
40,2,0.0,0
30,2,0.0,1
35,2,0.0,0
24,3,0.0,1
24,2,0.0,0
40,3,0.0,0
24,6,0.0,0
45,6,0.0,1
40,3,8.9,1
61,3,0.0,1
22,3,0.0,0
70,2,0.0,1
54,2,0.0,0
39,5,9.62,1
40,2,0.0,0
21,3,0.0,0
46,2,0.0,1
23,3,0.0,0
52,3,0.0,0
36,2,0.0,1
24,6,0.0,0
28,6,0.0,0
55,2,0.0,1
51,2,0.0,0
28,6,0.0,1
34,5,0.0,1
25,2,0.0,1
27,2,0.0,0
35,3,8.52,1
23,2,0.0,1
30,6,0.0,0
51,3,0.0,1
26,6,0.0,0
18,2,0.0,0
37,6,8.9,1
49,6,0.0,1
46,3,0.0,1
72,1,0.0,0
31,7,0.0,0
60,3,8.9,1
42,2,0.0,0
44,1,0.0,0
17,1,0.0,0
24,6,0.0,0
24,3,0.0,0
34,3,0.0,1
56,1,0.0,0
19,2,0.0,0
54,2,0.0,0
62,7,0.0,1
45,2,0.0,1
39,3,0.0,1
43,3,0.0,1
20,3,0.0,0
44,9,9.62,1
33,1,0.0,0
23,3,0.0,0
46,9,0.0,1
33,2,0.0,1
25,2,0.0,0
59,3,0.0,0
65,3,0.0,0
41,2,0.0,1
33,7,0.0,0
20,3,0.0,0
19,2,0.0,0
42,2,0.0,1
47,2,0.0,1
19,3,0.0,0
45,8,0.0,0
42,2,0.0,1
21,3,0.0,0
17,1,0.0,0
45,6,0.0,1
61,1,0.0,1
48,3,0.0,0
38,6,8.9,1
84,1,0.0,0
49,3,9.62,1
24,3,0.0,0
23,6,0.0,0
24,6,8.52,1
36,3,0.0,1
69,2,9.15,1
61,2,0.0,0
47,2,0.0,1
27,2,0.0,0
19,3,0.0,0
36,2,0.0,1
21,5,0.0,0
46,6,0.0,0
23,3,0.0,0
22,2,0.0,0
23,6,0.0,0
39,6,0.0,1
32,2,0.0,1
33,6,8.95,1
52,2,0.0,0
21,1,0.0,0
41,2,0.0,0
34,2,0.0,1
21,5,0.0,0
47,6,0.0,0
47,3,0.0,0
42,1,0.0,1
25,6,0.0,0
43,3,0.0,1
40,7,0.0,1
43,3,0.0,1
65,2,0.0,0
23,3,0.0,0
26,4,0.0,1
49,6,0.0,1
50,5,0.0,1
49,2,8.95,1
30,4,0.0,1
34,6,0.0,0
49,3,0.0,0
32,2,0.0,1
41,6,0.0,0
32,2,0.0,1
44,3,0.0,0
61,3,0.0,1
33,2,0.0,1
25,3,0.0,1
38,6,8.95,1
33,5,0.0,0
22,1,0.0,0
39,2,0.0,0
31,2,0.0,0
51,1,0.0,1
43,3,0.0,1
32,1,0.0,0
26,6,0.0,0
20,2,0.0,0
33,2,0.0,1
35,4,0.0,1
61,3,0.0,0
45,2,0.0,0
20,3,0.0,0
23,1,0.0,0
34,2,0.0,1
45,1,0.0,1
49,2,0.0,0
18,1,0.0,0
49,7,11.51,0
21,2,0.0,0
38,2,0.0,1
27,1,0.0,0
26,4,0.0,1
39,2,0.0,0
31,2,0.0,1
24,3,0.0,0
45,2,8.9,1
25,3,0.0,0
29,1,0.0,0
38,2,0.0,0
24,3,0.0,0
39,7,0.0,1
46,2,0.0,1
43,7,8.95,1
29,1,0.0,0
33,2,0.0,0
44,6,0.0,0
25,2,0.0,1
47,6,0.0,1
48,3,0.0,1
39,2,0.0,0
38,2,8.15,1
23,3,0.0,0
64,2,0.0,1
45,6,0.0,1
54,2,0.0,1
23,1,0.0,0
47,2,0.0,1
72,2,0.0,1
44,4,0.0,0
19,2,0.0,0
32,6,0.0,1
23,3,0.0,0
53,9,9.26,0
36,6,0.0,0
46,6,0.0,1
37,4,0.0,1
19,3,0.0,0
30,2,0.0,1
42,6,0.0,1
44,6,9.62,1
36,2,0.0,1
24,3,0.0,0
59,2,0.0,1
34,6,0.0,0
17,1,0.0,0
57,1,0.0,1
41,2,0.0,0
44,7,0.0,0
53,3,0.0,1
46,2,0.0,1
47,3,0.0,1
50,2,0.0,0
52,2,0.0,0
25,2,0.0,0
54,1,0.0,1
67,3,0.0,0
24,3,0.0,0
31,2,0.0,0
41,4,0.0,1
36,3,0.0,0
70,4,0.0,1
41,4,0.0,0
46,8,0.0,0
45,1,0.0,0
32,2,0.0,0
19,2,0.0,0
41,3,8.44,0
28,2,0.0,1
22,3,0.0,0
40,4,0.0,0
28,2,0.0,1
33,3,0.0,0
43,7,0.0,0
18,1,0.0,0
46,2,0.0,1
28,2,8.31,1
26,3,0.0,0
49,7,0.0,1
22,2,0.0,0
35,6,8.95,1
30,3,0.0,1
24,6,0.0,0
21,3,0.0,1
39,3,0.0,0
35,5,0.0,0
