age,education_num,hours_per_week,log_capital_gain,marital_status_Married,marital_status_Other,relationship_Family,relationship_Other
61.0,2,40.0,0.0,1,0,1,0
44.0,2,40.0,0.0,0,1,0,1
31.0,2,45.0,0.0,1,0,1,0
51.0,3,36.0,0.0,0,1,0,1
40.0,2,43.0,9.0,0,1,0,1
24.0,1,40.0,0.0,1,0,1,0
21.0,3,40.0,0.0,0,1,0,1
28.0,1,40.0,0.0,1,0,1,0
21.0,2,40.0,0.0,0,1,0,1
36.0,5,15.0,0.0,1,0,1,0
25.0,2,40.0,0.0,0,1,0,1
42.0,2,40.0,0.0,0,1,0,1
29.0,3,20.0,0.0,0,1,0,1
26.0,3,15.0,0.0,0,1,0,1
44.0,1,40.0,0.0,0,1,0,1
23.0,2,40.0,0.0,0,1,0,1
24.0,6,65.0,0.0,0,1,0,1
45.0,2,40.0,0.0,0,1,0,1
28.0,3,40.0,0.0,0,1,0,1
33.0,3,40.0,0.0,1,0,1,0
43.0,3,40.0,0.0,0,1,0,1
25.0,2,40.0,0.0,0,1,0,1
39.0,5,55.0,10.0,1,0,1,0
34.0,1,40.0,0.0,1,0,1,0
27.0,3,30.0,0.0,1,0,1,0
53.0,5,40.0,0.0,1,0,1,0
40.0,7,46.0,0.0,1,0,1,0
31.0,2,50.0,0.0,1,0,1,0
30.0,2,40.0,0.0,1,0,1,0
50.0,5,40.0,0.0,0,1,0,1
23.0,3,45.0,0.0,0,1,0,1
43.0,3,40.0,0.0,0,1,0,1
22.0,3,22.0,0.0,0,1,0,1
48.0,7,40.0,0.0,1,0,1,0
45.0,6,40.0,10.0,1,0,1,0
25.0,3,40.0,0.0,0,1,0,1
28.0,2,40.0,0.0,0,1,0,1
64.0,1,40.0,0.0,1,0,1,0
51.0,2,43.0,0.0,0,1,0,1
46.0,6,50.0,0.0,0,1,0,1
30.0,6,99.0,0.0,0,1,0,1
21.0,2,40.0,0.0,0,1,0,1
29.0,3,40.0,0.0,1,0,1,0
30.0,3,40.0,0.0,1,0,1,0
33.0,7,50.0,0.0,0,1,0,1
50.0,2,60.0,0.0,1,0,1,0
57.0,3,40.0,0.0,1,0,1,0
34.0,6,45.0,0.0,1,0,1,0
22.0,3,30.0,0.0,0,1,0,1
35.0,6,40.0,0.0,1,0,1,0
21.0,3,24.0,0.0,0,1,0,1
28.0,6,40.0,0.0,1,0,1,0
39.0,2,40.0,0.0,1,0,1,0
45.0,2,40.0,0.0,0,1,0,1
22.0,2,40.0,0.0,0,1,0,1
55.0,7,50.0,0.0,1,0,1,0
23.0,3,40.0,0.0,0,1,0,1
20.0,3,25.0,0.0,0,1,0,1
39.0,6,40.0,0.0,1,0,1,0
55.0,1,40.0,0.0,0,1,0,1
28.0,2,40.0,12.0,1,0,1,0
31.0,2,24.0,0.0,0,1,0,1
26.0,4,40.0,0.0,0,1,0,1
56.0,5,40.0,0.0,1,0,1,0
44.0,2,40.0,0.0,0,1,0,1
31.0,2,45.0,0.0,0,1,0,1
31.0,7,45.0,0.0,0,1,0,1
44.0,3,38.0,0.0,0,1,0,1
90.0,6,40.0,0.0,0,1,0,1
27.0,1,40.0,0.0,1,0,1,0
38.0,3,40.0,0.0,1,0,1,0
24.0,6,40.0,0.0,1,0,1,0
54.0,6,40.0,0.0,1,0,1,0
28.0,3,40.0,0.0,1,0,1,0
19.0,3,40.0,0.0,0,1,0,1
37.0,3,40.0,0.0,1,0,1,0
47.0,2,35.0,0.0,1,0,1,0
44.0,2,40.0,0.0,0,1,0,1
37.0,2,24.0,0.0,1,0,1,0
54.0,2,40.0,0.0,0,1,0,1
50.0,3,60.0,0.0,1,0,1,0
64.0,2,40.0,0.0,0,1,0,1
29.0,6,50.0,0.0,1,0,1,0
37.0,6,40.0,0.0,1,0,1,0
58.0,1,40.0,8.0,1,0,1,0
